frameId,radarRoi,radarSize,radarState,radarID,
109 ,15.808920 1.972439 2.104734 0.314691   25.491369 6.037259 3.748545 0.844697   33.880035 10.540152 4.497894 1.514941   4.743717 -1.089247 2.309275 0.377101   ,0.542624 1.338257   0.558910 1.452187   0.780689 1.534989   2.763410 2.195844   ,2 2 2 2 ,12 5 6 62 ,
110 ,16.016205 1.836171 1.997699 0.113568   25.903608 6.236672 4.010005 0.924927   34.295715 10.783042 4.443169 1.564752   4.911183 -1.093807 2.142572 0.318658   ,0.643785 3.138086   0.793291 3.754624   0.767811 1.443869   2.218462 1.700526   ,2 2 2 2 ,12 5 6 62 ,
111 ,0.000000 0.000000 0.000000 0.000000   0.000000 0.000000 0.000000 0.000000   16.259756 1.905178 2.174666 0.196561   26.428963 6.402810 4.594993 1.120416   34.740032 10.939517 4.443169 1.564752   5.186395 -0.946128 2.197148 0.503430   ,0.000000 0.000000   0.000000 0.000000   0.535376 0.067451   0.421877 1.550745   0.767811 1.443869   4.288146 2.142020   ,0 0 2 2 2 2 ,0 0 12 5 6 62 ,
112 ,0.000000 0.000000 0.000000 0.000000   16.506321 1.982323 2.295299 0.299963   26.969982 6.730299 5.093560 1.394181   5.479183 -0.770779 2.305255 0.707057   ,0.000000 0.000000   2.884333 0.971820   0.543663 1.622413   3.324405 1.997698   ,0 2 2 2 ,0 12 5 62 ,
113 ,0.000000 0.000000 0.000000 0.000000   39.008438 12.707471 4.933187 1.623623   16.803234 2.079843 2.592603 0.443390   27.479338 6.869718 5.093560 1.394181   5.824027 -0.533136 2.515956 1.006818   ,0.000000 0.000000   0.687389 1.334002   0.403513 0.685789   0.543663 1.622413   3.068793 1.759004   ,0 2 2 2 2 ,0 13 12 5 62 ,
114 ,0.000000 0.000000 0.000000 0.000000   39.501759 12.869833 4.933187 1.623623   17.085625 2.188577 2.702937 0.562873   6.178745 -0.316092 2.740624 1.244197   ,0.000000 0.000000   0.687389 1.334002   0.449553 0.788216   2.214679 1.509575   ,0 2 2 2 ,0 13 12 62 ,
115 ,30.600538 10.043724 5.476070 1.800557   17.338863 2.230027 2.586462 0.524642   6.246894 -0.269036 2.208502 1.041280   ,0.628256 1.172002   1.545473 1.825075   0.739540 1.228669   ,2 2 2 ,15 12 62 ,
116 ,31.158497 10.238593 5.537277 1.825982   17.741959 2.426809 3.173527 0.797358   6.288299 -0.238338 1.749759 0.871728   ,0.726364 0.782539   0.496822 0.726629   1.994547 4.091270   ,2 2 2 ,15 12 62 ,
117 ,31.710552 10.411949 5.515430 1.814249   18.104898 2.584692 3.396369 0.937248   6.442324 -0.233311 1.729764 0.722921   ,0.391396 0.930141   0.492979 1.730166   1.393661 1.395213   ,2 2 2 ,15 12 62 ,
118 ,0.000000 0.000000 0.000000 0.000000   32.247002 10.640800 5.502526 1.839945   18.497652 2.753676 3.648355 1.070462   6.532485 -0.308871 1.620948 0.468673   ,0.000000 0.000000   0.424110 1.673237   0.469292 0.696336   1.120982 2.106751   ,0 2 2 2 ,0 15 12 62 ,
119 ,32.791256 10.903555 5.552288 1.908491   18.938246 2.952270 4.014389 1.236244   6.636292 -0.475993 1.710867 0.132090   ,0.354664 1.205915   0.264265 0.902695   1.264500 2.014800   ,2 2 2 ,15 12 62 ,
120 ,0.000000 0.000000 0.000000 0.000000   33.297173 11.129771 5.373831 1.876028   19.339685 3.075894 4.014389 1.236244   6.714839 -0.654331 1.674631 -0.145319   ,0.000000 0.000000   0.524086 0.913878   0.264265 0.902695   3.026524 4.906768   ,0 2 2 2 ,0 15 12 62 ,
121 ,0.000000 0.000000 0.000000 0.000000   33.831718 11.344203 5.379680 1.897328   6.811854 -0.894020 1.735403 -0.450349   ,0.000000 0.000000   0.495216 0.728429   3.867023 1.932004   ,0 2 2 ,0 15 62 ,
122 ,0.000000 0.000000 0.000000 0.000000   23.239450 5.261916 5.044328 1.314211   34.369686 11.533936 5.379680 1.897328   6.898480 -1.141611 1.738921 -0.706276   ,0.000000 0.000000   0.739719 1.106005   0.495216 0.728429   1.848632 1.635549   ,0 2 2 2 ,0 9 15 62 ,
123 ,0.000000 0.000000 0.000000 0.000000   23.784088 5.733732 5.508436 1.722493   6.981520 -1.383930 1.715338 -0.909402   ,0.000000 0.000000   0.538544 0.670922   2.150259 1.813144   ,0 2 2 ,0 9 62 ,
124 ,0.000000 0.000000 0.000000 0.000000   24.314981 6.080679 5.574391 1.872255   7.048234 -1.619244 1.628220 -1.062572   ,0.000000 0.000000   0.432961 1.762019   2.082607 1.718475   ,0 2 2 ,0 9 62 ,
125 ,0.000000 0.000000 0.000000 0.000000   0.000000 0.000000 0.000000 0.000000   41.115662 15.528388 5.547206 2.070511   24.872421 6.267905 5.574391 1.872255   7.040072 -1.878566 1.448117 -1.202705   ,0.000000 0.000000   0.000000 0.000000   0.953865 2.586102   0.432961 1.762019   5.761981 2.211543   ,0 0 2 2 2 ,0 0 20 9 62 ,
126 ,0.000000 0.000000 0.000000 0.000000   0.000000 0.000000 0.000000 0.000000   41.708836 15.735410 5.701338 2.113691   7.059881 -2.095811 1.325257 -1.284389   ,0.000000 0.000000   0.000000 0.000000   0.645302 1.132433   2.581446 1.967087   ,0 0 2 2 ,0 0 20 62 ,
127 ,15.367769 1.841828 3.859530 0.395464   28.607721 9.403018 6.122824 2.016497   42.293404 15.919524 5.719139 2.104703   7.119661 -2.283152 1.238958 -1.327297   ,0.713712 1.095932   0.382807 1.271424   0.267689 1.281869   4.550318 2.432969   ,2 2 2 2 ,21 18 20 62 ,
128 ,15.833840 1.982341 4.231160 0.463225   29.228115 9.691933 6.250656 2.097144   42.865318 16.129995 5.719139 2.104703   7.418259 -2.188266 1.542349 -1.171346   ,0.636099 0.766389   0.183287 0.067093   0.267689 1.281869   1.541728 1.500964   ,2 2 2 2 ,21 18 20 62 ,
129 ,16.309528 2.136878 4.496867 0.646277   29.879824 9.907330 6.352467 2.135028   7.666601 -2.009526 1.620126 -0.877969   ,0.682373 1.451022   0.185406 0.060993   0.693268 1.355899   ,2 2 2 ,21 18 62 ,
130 ,16.776995 2.223107 4.588867 0.695197   30.511621 10.122996 6.334093 2.130644   7.830886 -2.017251 1.656312 -0.801321   ,0.472374 2.058789   0.640503 0.852547   1.033991 1.728133   ,2 2 2 ,21 18 62 ,
131 ,17.217031 2.422835 4.575507 0.908796   31.144567 10.365577 6.361915 2.158741   7.998315 -2.081416 1.710069 -0.796110   ,0.385683 2.306550   0.487560 0.716057   0.714903 1.283667   ,2 2 2 ,21 18 62 ,
132 ,17.705936 2.711191 4.836905 1.266243   31.783587 10.581649 6.368083 2.160408   8.188296 -2.037333 1.756324 -0.662338   ,0.570642 1.280039   1.048882 2.267109   2.559685 4.836061   ,2 2 2 ,21 18 62 ,
133 ,0.000000 0.000000 0.000000 0.000000   18.220663 2.800616 4.937647 1.227371   32.420395 10.797689 6.368083 2.160408   8.496124 -1.611681 2.023769 -0.125101   ,0.000000 0.000000   1.096453 3.054311   1.048882 2.267109   4.622646 4.585990   ,0 2 2 2 ,0 21 18 62 ,
134 ,0.000000 0.000000 0.000000 0.000000   18.799719 2.874393 5.254374 1.198323   8.845586 -1.110313 2.577904 0.428229   ,0.000000 0.000000   0.921028 4.124342   0.590265 1.267700   ,0 2 2 ,0 21 62 ,
135 ,37.171284 12.946494 6.187870 2.153307   19.342646 3.045025 5.351442 1.277050   9.083739 -0.960337 2.642713 0.560422   ,1.038380 1.721221   1.014128 2.755275   2.342504 1.895316   ,2 2 2 ,17 21 62 ,
136 ,37.787643 13.164601 6.182054 2.152768   19.873720 3.380145 5.445130 1.549882   9.365262 -0.709045 2.869738 0.829930   ,0.485989 0.817307   2.751400 2.468470   5.060802 4.167010   ,2 2 2 ,17 21 62 ,
137 ,0.000000 0.000000 0.000000 0.000000   38.393131 13.401170 6.156089 2.156065   20.414618 3.662434 5.503984 1.711199   9.641842 -0.394840 3.058148 1.171730   ,0.000000 0.000000   0.238110 1.171827   1.870241 4.145776   2.341413 4.084832   ,0 2 2 2 ,0 17 21 62 ,
138 ,0.000000 0.000000 0.000000 0.000000   0.000000 0.000000 0.000000 0.000000   39.046078 13.568227 6.247725 2.155550   20.965015 3.833554 5.503984 1.711199   9.963658 -0.179072 3.202283 1.325605   ,0.000000 0.000000   0.000000 0.000000   0.851429 6.415151   1.870241 4.145776   0.747226 4.783298   ,0 0 2 2 2 ,0 0 17 21 62 ,
139 ,0.000000 0.000000 0.000000 0.000000   0.000000 0.000000 0.000000 0.000000   2.045748 -3.010523 0.208031 -0.275391   39.611992 13.797477 6.058871 2.111567   10.453341 -0.070640 3.640402 1.302533   ,0.000000 0.000000   0.000000 0.000000   1.056527 0.849022   0.453259 1.196569   0.590703 1.412291   ,0 0 2 2 2 ,0 0 24 17 62 ,
140 ,0.000000 0.000000 0.000000 0.000000   0.000000 0.000000 0.000000 0.000000   2.649271 -2.718686 0.852074 -0.308507   40.217880 14.008634 6.058871 2.111567   10.846497 0.309446 3.829882 1.719698   ,0.000000 0.000000   0.000000 0.000000   1.651597 1.204141   0.453259 1.196569   2.944118 1.031458   ,0 0 2 2 2 ,0 0 24 17 62 ,
141 ,0.000000 0.000000 0.000000 0.000000   0.000000 0.000000 0.000000 0.000000   2.949228 -2.449662 1.356850 -0.081464   11.617833 0.732633 4.962351 2.196311   ,0.000000 0.000000   0.000000 0.000000   1.608472 3.816293   0.745338 0.714379   ,0 0 2 2 ,0 0 24 62 ,
142 ,0.000000 0.000000 0.000000 0.000000   0.000000 0.000000 0.000000 0.000000   0.000000 0.000000 0.000000 0.000000   0.000000 0.000000 0.000000 0.000000   3.432133 -1.703859 2.388966 0.474321   12.114068 0.952264 4.962351 2.196311   ,0.000000 0.000000   0.000000 0.000000   0.000000 0.000000   0.000000 0.000000   2.647650 1.742258   0.745338 0.714379   ,0 0 0 0 2 2 ,0 0 0 0 24 62 ,
143 ,0.000000 0.000000 0.000000 0.000000   0.000000 0.000000 0.000000 0.000000   0.000000 0.000000 0.000000 0.000000   3.662014 -1.043602 3.104156 0.956079   ,0.000000 0.000000   0.000000 0.000000   0.000000 0.000000   0.656289 1.331064   ,0 0 0 2 ,0 0 0 24 ,
144 ,0.000000 0.000000 0.000000 0.000000   0.000000 0.000000 0.000000 0.000000   7.426343 -7.388402 -1.362049 0.843253   0.000000 0.000000 0.000000 0.000000   38.921593 14.003333 6.890062 2.479979   3.606237 -0.338093 3.277386 1.227828   ,0.000000 0.000000   0.000000 0.000000   2.401990 1.893394   0.000000 0.000000   0.740131 1.656262   2.631675 3.864097   ,0 0 2 0 2 2 ,0 0 31 0 28 24 ,
145 ,0.000000 0.000000 0.000000 0.000000   0.000000 0.000000 0.000000 0.000000   0.000000 0.000000 0.000000 0.000000   7.290139 -7.304076 -1.362049 0.843253   39.610600 14.251331 6.890062 2.479979   3.933976 -0.215311 3.277386 1.227828   ,0.000000 0.000000   0.000000 0.000000   0.000000 0.000000   2.401990 1.893394   0.740131 1.656262   2.631675 3.864097   ,0 0 0 2 2 2 ,0 0 0 31 28 24 ,
146 ,0.000000 0.000000 0.000000 0.000000   0.000000 0.000000 0.000000 0.000000   ,0.000000 0.000000   0.000000 0.000000   ,0 0 ,0 0 ,
147 ,10.657866 1.115128 5.562072 0.593461   32.960896 10.407818 8.904176 2.812415   ,0.738538 0.899264   0.457439 1.396184   ,2 2 ,33 26 ,
148 ,11.232259 1.082355 5.540095 0.411376   33.853294 10.745665 8.978885 2.859947   ,0.777031 1.313744   0.534874 3.285725   ,2 2 ,33 26 ,
149 ,11.795395 1.235781 5.599022 0.674630   34.728275 11.059352 8.914787 2.855029   ,0.785443 0.892078   0.695351 4.052541   ,2 2 ,33 26 ,
150 ,12.396599 1.356644 5.794885 0.816994   35.654064 11.431936 9.145193 2.977036   ,0.475215 0.901533   0.391579 0.773389   ,2 2 ,33 26 ,
151 ,0.000000 0.000000 0.000000 0.000000   12.962720 1.471338 5.759448 0.886132   36.569706 11.737465 9.158545 2.986480   ,0.000000 0.000000   0.824544 2.133446   0.789978 0.872200   ,0 2 2 ,0 33 26 ,
152 ,0.000000 0.000000 0.000000 0.000000   0.000000 0.000000 0.000000 0.000000   0.000000 0.000000 0.000000 0.000000   13.659938 1.662771 6.213662 1.119054   37.498600 12.073054 9.251577 3.038781   ,0.000000 0.000000   0.000000 0.000000   0.000000 0.000000   0.856285 1.541850   0.404701 1.305967   ,0 0 0 2 2 ,0 0 0 33 26 ,
153 ,0.000000 0.000000 0.000000 0.000000   21.819620 -2.333645 -12.528800 1.156479   14.337242 1.875565 6.459966 1.321220   38.406883 12.433169 9.240088 3.076370   ,0.000000 0.000000   3.221344 1.503476   0.744794 1.803561   0.773594 2.044785   ,0 2 2 2 ,0 34 33 26 ,
154 ,0.000000 0.000000 0.000000 0.000000   1.789791 -2.163715 0.265280 -0.467993   20.566740 -2.217997 -12.528800 1.156479   14.983239 2.007688 6.459966 1.321220   39.328335 12.844581 9.340039 3.183114   ,0.000000 0.000000   1.221954 0.559749   3.221344 1.503476   0.744794 1.803561   0.183285 0.067093   ,0 2 2 2 2 ,0 37 34 33 26 ,
155 ,0.000000 0.000000 0.000000 0.000000   0.000000 0.000000 0.000000 0.000000   2.004518 -2.356829 0.146352 -1.338115   15.620970 2.159213 6.409896 1.344070   40.262341 13.162892 9.340039 3.183114   ,0.000000 0.000000   0.000000 0.000000   1.255674 0.621231   2.040705 3.762212   0.183285 0.067093   ,0 0 2 2 2 ,0 0 37 33 26 ,
156 ,0.000000 0.000000 0.000000 0.000000   0.000000 0.000000 0.000000 0.000000   2.109203 -2.538188 0.215963 -1.586164   16.454559 2.335012 6.982791 1.449071   ,0.000000 0.000000   0.000000 0.000000   1.314758 0.641781   0.790184 1.586978   ,0 0 2 2 ,0 0 37 33 ,
157 ,0.000000 0.000000 0.000000 0.000000   0.000000 0.000000 0.000000 0.000000   2.235273 -2.721409 0.289490 -1.624250   17.152838 2.479919 6.982791 1.449071   ,0.000000 0.000000   0.000000 0.000000   2.236773 3.906545   0.790184 1.586978   ,0 0 2 2 ,0 0 37 33 ,
158 ,0.000000 0.000000 0.000000 0.000000   0.000000 0.000000 0.000000 0.000000   2.264222 -2.883834 0.289490 -1.624250   ,0.000000 0.000000   0.000000 0.000000   2.236773 3.906545   ,0 0 2 ,0 0 37 ,
159 ,0.000000 0.000000 0.000000 0.000000   0.000000 0.000000 0.000000 0.000000   0.000000 0.000000 0.000000 0.000000   2.258563 -2.670865 0.120309 -0.688737   ,0.000000 0.000000   0.000000 0.000000   0.000000 0.000000   1.531442 3.334192   ,0 0 0 2 ,0 0 0 37 ,
160 ,0.000000 0.000000 0.000000 0.000000   0.000000 0.000000 0.000000 0.000000   0.000000 0.000000 0.000000 0.000000   2.354905 -2.776162 0.307012 -0.829823   ,0.000000 0.000000   0.000000 0.000000   0.000000 0.000000   1.288189 3.499252   ,0 0 0 2 ,0 0 0 37 ,
161 ,0.000000 0.000000 0.000000 0.000000   14.234056 1.804287 6.468463 0.802529   0.000000 0.000000 0.000000 0.000000   41.556641 14.032690 9.105394 3.075911   2.418156 -2.876533 0.396151 -0.916667   ,0.000000 0.000000   4.380409 2.042827   0.000000 0.000000   0.472786 1.034592   1.144587 3.218224   ,0 2 0 2 2 ,0 49 0 36 37 ,
162 ,0.000000 0.000000 0.000000 0.000000   14.959244 1.839583 6.752325 0.780350   0.000000 0.000000 0.000000 0.000000   42.465939 14.374920 9.146680 3.104208   2.585295 -2.933915 0.579521 -0.918020   ,0.000000 0.000000   0.739160 2.404713   0.000000 0.000000   0.958538 0.948439   4.623899 3.598075   ,0 2 0 2 2 ,0 49 0 36 37 ,
163 ,0.000000 0.000000 0.000000 0.000000   0.000000 0.000000 0.000000 0.000000   16.720020 -3.955249 -10.293384 2.392479   15.634477 1.917618 6.752325 0.780350   0.000000 0.000000 0.000000 0.000000   43.375404 14.737848 9.193099 3.146575   2.830438 -2.981812 0.960967 -1.052605   ,0.000000 0.000000   0.000000 0.000000   3.877775 5.114316   0.739160 2.404713   0.000000 0.000000   0.588440 1.302631   1.733272 1.084868   ,0 0 2 2 0 2 2 ,0 0 50 49 0 36 37 ,
164 ,0.000000 0.000000 0.000000 0.000000   15.491741 -3.998117 -10.658547 2.322481   16.341169 2.103365 6.893746 0.957437   44.283058 15.089108 9.192653 3.168207   3.307030 -2.895325 1.674900 -1.106899   ,0.000000 0.000000   2.975327 3.819972   0.993959 1.233020   1.012516 1.484159   1.794659 0.766191   ,0 2 2 2 2 ,0 50 49 36 37 ,
165 ,0.000000 0.000000 0.000000 0.000000   14.380196 -4.048577 -10.651371 2.134307   17.039110 2.306910 6.973101 1.140351   45.212921 15.435331 9.277063 3.213695   3.797395 -2.704051 2.339276 -1.010554   ,0.000000 0.000000   3.584184 1.923674   0.846058 1.101404   1.031422 2.285708   2.074383 1.063663   ,0 2 2 2 2 ,0 50 49 36 37 ,
